Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34729,-,-,-,12.95,77.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Pressure
2014,1,1,0,0,0,0,0,20,2.7,920
2014,1,1,1,0,0,0,0,20,2.7,920
2014,1,1,2,0,0,0,0,20,2.6,910
2014,1,1,3,0,0,0,0,20,2.4000000000000004,910
2014,1,1,4,0,0,0,0,20,2.3000000000000003,910
2014,1,1,5,0,0,0,0,16,2.6,920
2014,1,1,6,0,0,0,0,16,2.4000000000000004,920
2014,1,1,7,0,96,148,70,18,2.4000000000000004,920
2014,1,1,8,0,291,335,162,21,2.8000000000000003,920
2014,1,1,9,0,517,472,250,23,3,920
2014,1,1,10,0,382,73,330,24,2.9000000000000004,920
2014,1,1,11,0,446,75,387,25,2.8000000000000003,920
2014,1,1,12,0,455,81,389,25,2.8000000000000003,920
2014,1,1,13,0,671,415,350,25,2.8000000000000003,920
2014,1,1,14,0,690,778,163,25,2.9000000000000004,920
2014,1,1,15,0,510,694,143,24,3.1,920
2014,1,1,16,0,282,397,147,22,3,920
2014,1,1,17,0,55,52,48,21,3.1,920
2014,1,1,18,0,0,0,0,20,3.2,920
2014,1,1,19,0,0,0,0,19,3.2,920
2014,1,1,20,0,0,0,0,18,3.2,920
2014,1,1,21,0,0,0,0,17,3.1,920
2014,1,1,22,0,0,0,0,16,3,920
2014,1,1,23,0,0,0,0,16,2.8000000000000003,920
2014,1,2,0,0,0,0,0,15,2.7,920
2014,1,2,1,0,0,0,0,15,2.4000000000000004,920
2014,1,2,2,0,0,0,0,15,2,920
2014,1,2,3,0,0,0,0,15,1.9000000000000001,920
2014,1,2,4,0,0,0,0,15,1.8,920
2014,1,2,5,0,0,0,0,15,1.7000000000000002,920
2014,1,2,6,0,0,0,0,15,1.7000000000000002,920
2014,1,2,7,0,77,36,70,16,1.6,920
2014,1,2,8,0,218,79,187,19,1.8,920
2014,1,2,9,0,319,78,274,22,1.7000000000000002,920
2014,1,2,10,0,255,11,247,24,1.2000000000000002,920
2014,1,2,11,0,433,83,367,26,0.8,920
2014,1,2,12,0,692,370,392,27,0.7000000000000001,920
2014,1,2,13,0,775,645,276,27,0.7000000000000001,920
2014,1,2,14,0,698,787,164,26,1,920
2014,1,2,15,0,517,703,144,25,1.5,920
2014,1,2,16,0,296,544,110,23,2,920
2014,1,2,17,0,57,59,49,21,2.6,920
2014,1,2,18,0,0,0,0,20,3.2,920
2014,1,2,19,0,0,0,0,19,3.6,920
2014,1,2,20,0,0,0,0,18,3.6,920
2014,1,2,21,0,0,0,0,17,3.5,920
2014,1,2,22,0,0,0,0,16,3.3000000000000003,920
2014,1,2,23,0,0,0,0,15,3.1,920
2014,1,3,0,0,0,0,0,15,2.9000000000000004,920
2014,1,3,1,0,0,0,0,14,2.8000000000000003,920
2014,1,3,2,0,0,0,0,14,2.7,920
2014,1,3,3,0,0,0,0,14,2.6,920
2014,1,3,4,0,0,0,0,14,2.4000000000000004,920
2014,1,3,5,0,0,0,0,15,2,920
2014,1,3,6,0,0,0,0,15,1.7000000000000002,920
2014,1,3,7,0,104,196,71,16,1.5,920
2014,1,3,8,0,343,585,119,19,1.4000000000000001,920
2014,1,3,9,0,557,723,149,23,1.4000000000000001,920
2014,1,3,10,0,726,796,167,25,1.2000000000000002,920
2014,1,3,11,0,831,832,176,26,1,920
2014,1,3,12,0,861,841,179,27,0.8,920
2014,1,3,13,0,815,825,175,27,0.6000000000000001,920
2014,1,3,14,0,695,782,164,27,0.7000000000000001,920
2014,1,3,15,0,516,699,144,26,0.8,920
2014,1,3,16,0,280,401,142,24,1.1,920
2014,1,3,17,0,54,40,49,22,1.7000000000000002,920
2014,1,3,18,0,0,0,0,21,2.3000000000000003,920
2014,1,3,19,0,0,0,0,20,2.7,920
2014,1,3,20,0,0,0,0,19,2.8000000000000003,920
2014,1,3,21,0,0,0,0,18,2.8000000000000003,920
2014,1,3,22,0,0,0,0,17,2.7,920
2014,1,3,23,0,0,0,0,17,2.6,920
2014,1,4,0,0,0,0,0,16,2.5,920
2014,1,4,1,0,0,0,0,16,2.4000000000000004,920
2014,1,4,2,0,0,0,0,15,2.2,920
2014,1,4,3,0,0,0,0,15,2.1,920
2014,1,4,4,0,0,0,0,14,2,920
2014,1,4,5,0,0,0,0,14,2,920
2014,1,4,6,0,0,0,0,15,1.9000000000000001,920
2014,1,4,7,0,114,301,64,18,1.6,920
2014,1,4,8,0,339,580,118,22,1.6,920
2014,1,4,9,0,553,717,148,25,1.9000000000000001,920
2014,1,4,10,0,721,790,166,26,1.8,920
2014,1,4,11,0,826,825,176,27,1.8,920
2014,1,4,12,0,856,834,178,28,1.9000000000000001,920
2014,1,4,13,0,810,819,174,27,2,920
2014,1,4,14,0,687,737,184,27,2.1,920
2014,1,4,15,0,514,693,143,26,2.3000000000000003,920
2014,1,4,16,0,234,203,163,24,2.6,920
2014,1,4,17,0,20,0,20,22,2.9000000000000004,920
2014,1,4,18,0,0,0,0,20,3.2,920
2014,1,4,19,0,0,0,0,19,3.4000000000000004,920
2014,1,4,20,0,0,0,0,19,3.5,920
2014,1,4,21,0,0,0,0,18,3.6,920
2014,1,4,22,0,0,0,0,17,3.5,920
2014,1,4,23,0,0,0,0,17,3.3000000000000003,920
2014,1,5,0,0,0,0,0,16,3,920
2014,1,5,1,0,0,0,0,16,2.6,920
2014,1,5,2,0,0,0,0,16,2.1,920
2014,1,5,3,0,0,0,0,16,1.7000000000000002,920
2014,1,5,4,0,0,0,0,16,1.5,920
2014,1,5,5,0,0,0,0,16,1.4000000000000001,920
2014,1,5,6,0,0,0,0,16,1.4000000000000001,920
2014,1,5,7,0,112,294,63,17,1.4000000000000001,920
2014,1,5,8,0,337,575,118,19,1.4000000000000001,920
2014,1,5,9,0,528,589,196,22,1.5,920
2014,1,5,10,0,722,791,166,25,1.5,920
2014,1,5,11,0,829,828,176,26,1.3,920
2014,1,5,12,0,861,839,179,27,1.2000000000000002,920
2014,1,5,13,0,816,824,175,27,1.1,920
2014,1,5,14,0,698,781,164,26,1.1,920
2014,1,5,15,0,519,699,144,25,1,920
2014,1,5,16,0,300,544,111,24,1.1,920
2014,1,5,17,0,65,79,54,21,1.4000000000000001,920
2014,1,5,18,0,0,0,0,20,1.9000000000000001,920
2014,1,5,19,0,0,0,0,19,2.2,920
2014,1,5,20,0,0,0,0,19,2.5,920
2014,1,5,21,0,0,0,0,18,2.7,920
2014,1,5,22,0,0,0,0,17,2.8000000000000003,920
2014,1,5,23,0,0,0,0,16,2.7,920
2014,1,6,0,0,0,0,0,16,2.5,920
2014,1,6,1,0,0,0,0,15,2.3000000000000003,920
2014,1,6,2,0,0,0,0,15,1.9000000000000001,920
2014,1,6,3,0,0,0,0,15,1.6,920
2014,1,6,4,0,0,0,0,16,1.4000000000000001,920
2014,1,6,5,0,0,0,0,16,1.3,920
2014,1,6,6,0,0,0,0,16,1.3,920
2014,1,6,7,0,111,273,66,18,1.3,920
2014,1,6,8,0,338,580,118,20,1.3,920
2014,1,6,9,0,555,721,149,24,1.5,920
2014,1,6,10,0,726,796,167,26,1.8,920
2014,1,6,11,0,833,833,177,27,2,920
2014,1,6,12,0,866,842,179,27,2,920
2014,1,6,13,0,821,828,175,27,2.1,920
2014,1,6,14,0,703,785,164,27,2.2,920
2014,1,6,15,0,524,703,145,26,2.3000000000000003,920
2014,1,6,16,0,304,549,112,24,2.4000000000000004,920
2014,1,6,17,0,67,87,55,21,2.8000000000000003,920
2014,1,6,18,0,0,0,0,20,3.1,920
2014,1,6,19,0,0,0,0,19,3.3000000000000003,920
2014,1,6,20,0,0,0,0,18,3.3000000000000003,920
2014,1,6,21,0,0,0,0,18,3.3000000000000003,920
2014,1,6,22,0,0,0,0,17,3.2,920
2014,1,6,23,0,0,0,0,16,3.1,920
2014,1,7,0,0,0,0,0,16,2.9000000000000004,920
2014,1,7,1,0,0,0,0,15,2.8000000000000003,920
2014,1,7,2,0,0,0,0,15,2.7,920
2014,1,7,3,0,0,0,0,15,2.6,920
2014,1,7,4,0,0,0,0,15,2.3000000000000003,920
2014,1,7,5,0,0,0,0,15,2,920
2014,1,7,6,0,0,0,0,16,1.8,920
2014,1,7,7,0,110,250,69,17,1.5,920
2014,1,7,8,0,341,586,119,19,1.6,920
2014,1,7,9,0,558,726,149,23,1.7000000000000002,920
2014,1,7,10,0,729,799,167,26,2,920
2014,1,7,11,0,836,835,177,27,1.9000000000000001,920
2014,1,7,12,0,868,844,180,28,1.9000000000000001,920
2014,1,7,13,0,823,829,176,28,1.9000000000000001,920
2014,1,7,14,0,706,786,165,27,2,920
2014,1,7,15,0,527,705,145,26,2.2,920
2014,1,7,16,0,303,433,150,24,2.4000000000000004,920
2014,1,7,17,0,64,65,55,22,2.8000000000000003,920
2014,1,7,18,0,0,0,0,20,3.1,920
2014,1,7,19,0,0,0,0,20,3.3000000000000003,920
2014,1,7,20,0,0,0,0,19,3.3000000000000003,920
2014,1,7,21,0,0,0,0,18,3.2,920
2014,1,7,22,0,0,0,0,18,3.1,920
2014,1,7,23,0,0,0,0,17,3,920
2014,1,8,0,0,0,0,0,16,2.9000000000000004,920
2014,1,8,1,0,0,0,0,16,2.8000000000000003,920
2014,1,8,2,0,0,0,0,16,2.6,920
2014,1,8,3,0,0,0,0,16,2.3000000000000003,920
2014,1,8,4,0,0,0,0,16,2,920
2014,1,8,5,0,0,0,0,15,2.4000000000000004,920
2014,1,8,6,0,0,0,0,15,2.5,920
2014,1,8,7,0,104,212,69,17,2.7,920
2014,1,8,8,0,337,548,129,20,3,920
2014,1,8,9,0,553,718,149,23,3.4000000000000004,920
2014,1,8,10,0,724,792,167,25,3.5,920
2014,1,8,11,0,831,828,176,26,3.4000000000000004,920
2014,1,8,12,0,865,839,179,26,3.2,920
2014,1,8,13,0,822,826,176,26,3.1,920
2014,1,8,14,0,706,785,165,26,3.1,920
2014,1,8,15,0,528,703,145,25,3,920
2014,1,8,16,0,308,550,113,23,2.9000000000000004,920
2014,1,8,17,0,66,72,56,21,2.9000000000000004,920
2014,1,8,18,0,0,0,0,20,3,920
2014,1,8,19,0,0,0,0,20,3.1,920
2014,1,8,20,0,0,0,0,19,3,920
2014,1,8,21,0,0,0,0,19,2.9000000000000004,920
2014,1,8,22,0,0,0,0,18,2.7,920
2014,1,8,23,0,0,0,0,18,2.5,920
2014,1,9,0,0,0,0,0,17,2.4000000000000004,920
2014,1,9,1,0,0,0,0,16,2.3000000000000003,920
2014,1,9,2,0,0,0,0,16,2.3000000000000003,920
2014,1,9,3,0,0,0,0,16,2.1,920
2014,1,9,4,0,0,0,0,16,2,920
2014,1,9,5,0,0,0,0,16,2,920
2014,1,9,6,0,0,0,0,16,2,920
2014,1,9,7,0,103,210,69,18,2.1,920
2014,1,9,8,0,333,570,117,20,2.3000000000000003,920
2014,1,9,9,0,549,712,148,23,2.3000000000000003,920
2014,1,9,10,0,721,788,166,25,2.4000000000000004,920
2014,1,9,11,0,830,826,176,27,2.3000000000000003,920
2014,1,9,12,0,864,836,179,27,2.3000000000000003,920
2014,1,9,13,0,821,822,175,28,2.2,920
2014,1,9,14,0,705,781,165,27,2.2,920
2014,1,9,15,0,528,701,145,26,2.2,920
2014,1,9,16,0,309,550,113,24,2.3000000000000003,920
2014,1,9,17,0,69,79,58,22,2.6,920
2014,1,9,18,0,0,0,0,21,3,920
2014,1,9,19,0,0,0,0,20,3.2,920
2014,1,9,20,0,0,0,0,19,3.2,920
2014,1,9,21,0,0,0,0,19,3.3000000000000003,920
2014,1,9,22,0,0,0,0,18,3.3000000000000003,920
2014,1,9,23,0,0,0,0,17,3.2,920
2014,1,10,0,0,0,0,0,17,3.1,920
2014,1,10,1,0,0,0,0,17,3,920
2014,1,10,2,0,0,0,0,17,2.6,920
2014,1,10,3,0,0,0,0,17,2.4000000000000004,920
2014,1,10,4,0,0,0,0,16,2.2,920
2014,1,10,5,0,0,0,0,16,2.1,920
2014,1,10,6,0,0,0,0,16,2.1,920
2014,1,10,7,0,96,172,68,18,2.2,920
2014,1,10,8,0,332,569,117,20,2.2,920
2014,1,10,9,0,548,710,148,23,1.8,920
2014,1,10,10,0,720,785,166,25,1.3,920
2014,1,10,11,0,828,823,176,27,0.8,920
2014,1,10,12,0,862,833,179,28,0.6000000000000001,920
2014,1,10,13,0,820,820,175,28,0.7000000000000001,920
2014,1,10,14,0,705,779,165,27,0.8,920
2014,1,10,15,0,529,699,145,26,0.9,920
2014,1,10,16,0,310,549,113,25,1.1,920
2014,1,10,17,0,72,86,59,23,1.5,920
2014,1,10,18,0,0,0,0,23,1.9000000000000001,920
2014,1,10,19,0,0,0,0,22,2.3000000000000003,920
2014,1,10,20,0,0,0,0,21,2.5,920
2014,1,10,21,0,0,0,0,21,2.6,920
2014,1,10,22,0,0,0,0,20,2.5,920
2014,1,10,23,0,0,0,0,19,2.5,920
2014,1,11,0,0,0,0,0,18,2.5,920
2014,1,11,1,0,0,0,0,17,2.5,920
2014,1,11,2,0,0,0,0,17,2.4000000000000004,920
2014,1,11,3,0,0,0,0,17,2.4000000000000004,920
2014,1,11,4,0,0,0,0,17,2.3000000000000003,920
2014,1,11,5,0,0,0,0,17,2.2,920
2014,1,11,6,0,0,0,0,17,2.1,920
2014,1,11,7,0,101,204,68,18,2.2,920
2014,1,11,8,0,329,515,134,21,2.4000000000000004,920
2014,1,11,9,0,544,704,147,24,2.4000000000000004,920
2014,1,11,10,0,712,757,178,26,2.2,920
2014,1,11,11,0,825,818,176,27,2,920
2014,1,11,12,0,860,829,179,28,1.8,920
2014,1,11,13,0,819,816,175,28,1.6,920
2014,1,11,14,0,704,775,164,27,1.6,920
2014,1,11,15,0,527,694,145,26,1.5,920
2014,1,11,16,0,310,544,113,25,1.6,920
2014,1,11,17,0,68,65,58,24,1.9000000000000001,920
2014,1,11,18,0,0,0,0,23,2.1,920
2014,1,11,19,0,0,0,0,22,2.3000000000000003,920
2014,1,11,20,0,0,0,0,22,2.3000000000000003,920
2014,1,11,21,0,0,0,0,21,2.3000000000000003,920
2014,1,11,22,0,0,0,0,20,2.2,920
2014,1,11,23,0,0,0,0,20,2.2,920
2014,1,12,0,0,0,0,0,19,2.1,920
2014,1,12,1,0,0,0,0,19,2,920
2014,1,12,2,0,0,0,0,18,1.9000000000000001,920
2014,1,12,3,0,0,0,0,18,1.8,920
2014,1,12,4,0,0,0,0,18,1.7000000000000002,920
2014,1,12,5,0,0,0,0,17,1.5,920
2014,1,12,6,0,0,0,0,17,1.5,920
2014,1,12,7,0,95,168,68,18,1.5,920
2014,1,12,8,0,326,557,116,20,1.6,920
2014,1,12,9,0,541,699,147,23,1.6,920
2014,1,12,10,0,712,774,165,26,1.6,920
2014,1,12,11,0,821,812,175,27,1.7000000000000002,920
2014,1,12,12,0,857,824,178,28,1.7000000000000002,920
2014,1,12,13,0,816,811,175,27,1.7000000000000002,920
2014,1,12,14,0,703,771,164,27,1.8,920
2014,1,12,15,0,528,692,145,26,1.8,920
2014,1,12,16,0,312,545,113,24,1.9000000000000001,920
2014,1,12,17,0,77,101,62,23,2.1,920
2014,1,12,18,0,0,0,0,22,2.5,920
2014,1,12,19,0,0,0,0,21,2.8000000000000003,920
2014,1,12,20,0,0,0,0,20,2.9000000000000004,920
2014,1,12,21,0,0,0,0,19,2.9000000000000004,920
2014,1,12,22,0,0,0,0,19,2.8000000000000003,920
2014,1,12,23,0,0,0,0,18,2.6,920
2014,1,13,0,0,0,0,0,17,2.4000000000000004,920
2014,1,13,1,0,0,0,0,17,2.2,920
2014,1,13,2,0,0,0,0,16,2.1,920
2014,1,13,3,0,0,0,0,15,2,920
2014,1,13,4,0,0,0,0,15,1.9000000000000001,920
2014,1,13,5,0,0,0,0,15,1.8,920
2014,1,13,6,0,0,0,0,16,1.6,920
2014,1,13,7,0,100,200,68,18,1.3,920
2014,1,13,8,0,331,567,117,22,1.2000000000000002,920
2014,1,13,9,0,547,709,148,25,1.3,920
2014,1,13,10,0,720,784,166,27,1.5,920
2014,1,13,11,0,831,822,176,28,1.6,920
2014,1,13,12,0,867,834,179,29,1.5,920
2014,1,13,13,0,827,821,176,29,1.5,920
2014,1,13,14,0,713,781,165,28,1.5,920
2014,1,13,15,0,537,703,146,27,1.6,920
2014,1,13,16,0,318,555,114,25,1.7000000000000002,920
2014,1,13,17,0,80,89,66,23,2,920
2014,1,13,18,0,0,0,0,21,2.3000000000000003,920
2014,1,13,19,0,0,0,0,20,2.4000000000000004,920
2014,1,13,20,0,0,0,0,19,2.5,920
2014,1,13,21,0,0,0,0,19,2.6,920
2014,1,13,22,0,0,0,0,18,2.7,920
2014,1,13,23,0,0,0,0,17,2.7,920
2014,1,14,0,0,0,0,0,16,2.7,920
2014,1,14,1,0,0,0,0,16,2.7,920
2014,1,14,2,0,0,0,0,15,2.5,920
2014,1,14,3,0,0,0,0,15,2.4000000000000004,920
2014,1,14,4,0,0,0,0,15,2.3000000000000003,920
2014,1,14,5,0,0,0,0,15,2.2,920
2014,1,14,6,0,0,0,0,15,2,920
2014,1,14,7,0,94,123,74,18,1.6,920
2014,1,14,8,0,325,555,116,22,1.7000000000000002,920
2014,1,14,9,0,540,697,147,25,1.5,920
2014,1,14,10,0,712,773,165,27,1.1,920
2014,1,14,11,0,821,811,175,28,0.9,920
2014,1,14,12,0,858,822,178,29,0.7000000000000001,920
2014,1,14,13,0,818,809,175,29,0.6000000000000001,920
2014,1,14,14,0,705,769,164,28,0.6000000000000001,920
2014,1,14,15,0,531,691,145,27,0.8,920
2014,1,14,16,0,315,545,114,25,1,920
2014,1,14,17,0,82,95,67,23,1.5,920
2014,1,14,18,0,0,0,0,22,2.1,920
2014,1,14,19,0,0,0,0,21,2.5,920
2014,1,14,20,0,0,0,0,20,2.8000000000000003,920
2014,1,14,21,0,0,0,0,19,3,920
2014,1,14,22,0,0,0,0,18,3.1,920
2014,1,14,23,0,0,0,0,17,3.1,920
2014,1,15,0,0,0,0,0,17,3.1,920
2014,1,15,1,0,0,0,0,16,3,920
2014,1,15,2,0,0,0,0,16,2.9000000000000004,920
2014,1,15,3,0,0,0,0,16,2.7,920
2014,1,15,4,0,0,0,0,16,2.4000000000000004,920
2014,1,15,5,0,0,0,0,16,2,920
2014,1,15,6,0,0,0,0,16,1.8,920
2014,1,15,7,0,101,263,59,18,1.9000000000000001,920
2014,1,15,8,0,321,546,115,20,2.1,920
2014,1,15,9,0,535,688,146,23,2.2,920
2014,1,15,10,0,706,764,164,26,2,920
2014,1,15,11,0,816,803,174,28,1.7000000000000002,920
2014,1,15,12,0,853,815,178,28,1.4000000000000001,920
2014,1,15,13,0,814,803,174,28,1,920
2014,1,15,14,0,703,764,164,27,0.8,920
2014,1,15,15,0,530,687,145,26,0.6000000000000001,920
2014,1,15,16,0,315,542,114,25,0.7000000000000001,920
2014,1,15,17,0,91,173,64,24,1.2000000000000002,920
2014,1,15,18,0,0,0,0,23,1.7000000000000002,920
2014,1,15,19,0,0,0,0,23,2,920
2014,1,15,20,0,0,0,0,22,2.2,920
2014,1,15,21,0,0,0,0,21,2.3000000000000003,920
2014,1,15,22,0,0,0,0,21,2.3000000000000003,920
2014,1,15,23,0,0,0,0,20,2.2,920
2014,1,16,0,0,0,0,0,20,2.2,920
2014,1,16,1,0,0,0,0,19,2.1,920
2014,1,16,2,0,0,0,0,18,2.1,920
2014,1,16,3,0,0,0,0,18,2,920
2014,1,16,4,0,0,0,0,17,2,920
2014,1,16,5,0,0,0,0,17,1.9000000000000001,920
2014,1,16,6,0,0,0,0,17,1.8,920
2014,1,16,7,0,98,195,67,19,1.6,920
2014,1,16,8,0,323,552,115,22,1.7000000000000002,920
2014,1,16,9,0,539,694,146,25,1.6,920
2014,1,16,10,0,712,770,165,27,1.5,920
2014,1,16,11,0,822,809,175,28,1.5,920
2014,1,16,12,0,846,698,266,28,1.5,920
2014,1,16,13,0,750,576,289,28,1.4000000000000001,920
2014,1,16,14,0,586,347,340,27,1.3,920
2014,1,16,15,0,533,689,146,26,1,920
2014,1,16,16,0,317,543,114,25,1,920
2014,1,16,17,0,88,108,71,24,1.4000000000000001,920
2014,1,16,18,0,0,0,0,23,1.8,920
2014,1,16,19,0,0,0,0,22,2.1,920
2014,1,16,20,0,0,0,0,21,2.4000000000000004,920
2014,1,16,21,0,0,0,0,21,2.6,920
2014,1,16,22,0,0,0,0,20,2.6,920
2014,1,16,23,0,0,0,0,19,2.6,920
2014,1,17,0,0,0,0,0,19,2.4000000000000004,920
2014,1,17,1,0,0,0,0,19,2.1,920
2014,1,17,2,0,0,0,0,19,1.9000000000000001,920
2014,1,17,3,0,0,0,0,18,1.8,920
2014,1,17,4,0,0,0,0,18,1.9000000000000001,920
2014,1,17,5,0,0,0,0,18,1.9000000000000001,920
2014,1,17,6,0,0,0,0,18,2,920
2014,1,17,7,0,99,256,58,19,2.1,920
2014,1,17,8,0,318,539,114,20,2.2,920
2014,1,17,9,0,531,682,145,20,2.2,920
2014,1,17,10,0,703,758,164,21,2.4000000000000004,920
2014,1,17,11,0,813,797,174,21,2.6,920
2014,1,17,12,0,851,809,177,22,2.5,920
2014,1,17,13,0,813,797,174,23,2.5,920
2014,1,17,14,0,703,759,164,23,2.5,920
2014,1,17,15,0,352,131,278,23,2.5,920
2014,1,17,16,0,317,539,114,22,2.2,920
2014,1,17,17,0,51,0,51,21,2.1,920
2014,1,17,18,0,0,0,0,21,2.1,920
2014,1,17,19,0,0,0,0,20,2.1,920
2014,1,17,20,0,0,0,0,20,2,920
2014,1,17,21,0,0,0,0,19,2.1,920
2014,1,17,22,0,0,0,0,19,2.1,920
2014,1,17,23,0,0,0,0,18,2.2,920
2014,1,18,0,0,0,0,0,18,2.2,920
2014,1,18,1,0,0,0,0,18,2.1,920
2014,1,18,2,0,0,0,0,17,1.8,920
2014,1,18,3,0,0,0,0,17,1.6,920
2014,1,18,4,0,0,0,0,17,1.4000000000000001,920
2014,1,18,5,0,0,0,0,16,1.3,920
2014,1,18,6,0,0,0,0,17,1.3,920
2014,1,18,7,0,81,90,66,18,1.3,920
2014,1,18,8,0,308,394,159,21,1.4000000000000001,920
2014,1,18,9,0,534,685,146,24,1.4000000000000001,920
2014,1,18,10,0,707,762,164,26,1.5,920
2014,1,18,11,0,818,801,175,27,1.7000000000000002,920
2014,1,18,12,0,857,814,178,28,1.9000000000000001,920
2014,1,18,13,0,819,802,175,27,2.1,920
2014,1,18,14,0,709,764,164,27,2.3000000000000003,920
2014,1,18,15,0,536,688,146,26,2.3000000000000003,920
2014,1,18,16,0,322,546,115,25,2.3000000000000003,920
2014,1,18,17,0,93,122,73,23,2.5,920
2014,1,18,18,0,0,0,0,22,2.9000000000000004,920
2014,1,18,19,0,0,0,0,21,3.2,920
2014,1,18,20,0,0,0,0,20,3.4000000000000004,920
2014,1,18,21,0,0,0,0,19,3.4000000000000004,920
2014,1,18,22,0,0,0,0,18,3.3000000000000003,920
2014,1,18,23,0,0,0,0,18,3.1,920
2014,1,19,0,0,0,0,0,17,2.9000000000000004,920
2014,1,19,1,0,0,0,0,16,2.8000000000000003,920
2014,1,19,2,0,0,0,0,16,2.6,920
2014,1,19,3,0,0,0,0,16,2.4000000000000004,920
2014,1,19,4,0,0,0,0,16,2.2,920
2014,1,19,5,0,0,0,0,16,2.2,920
2014,1,19,6,0,0,0,0,17,2.2,920
2014,1,19,7,0,75,43,68,18,2.5,930
2014,1,19,8,0,252,184,182,21,2.6,930
2014,1,19,9,0,544,700,147,23,2.6,930
2014,1,19,10,0,720,777,166,26,2.5,930
2014,1,19,11,0,834,817,176,27,2.3000000000000003,920
2014,1,19,12,0,865,786,207,28,2.1,920
2014,1,19,13,0,835,818,176,28,2.1,920
2014,1,19,14,0,676,563,273,27,2.2,920
2014,1,19,15,0,444,293,277,26,2.4000000000000004,920
2014,1,19,16,0,331,562,117,24,2.5,920
2014,1,19,17,0,96,170,68,22,2.9000000000000004,920
2014,1,19,18,0,0,0,0,21,3.3000000000000003,920
2014,1,19,19,0,0,0,0,20,3.6,920
2014,1,19,20,0,0,0,0,19,3.7,920
2014,1,19,21,0,0,0,0,18,3.6,920
2014,1,19,22,0,0,0,0,17,3.3000000000000003,920
2014,1,19,23,0,0,0,0,17,3,920
2014,1,20,0,0,0,0,0,16,2.7,920
2014,1,20,1,0,0,0,0,17,2.5,920
2014,1,20,2,0,0,0,0,17,2,920
2014,1,20,3,0,0,0,0,17,2,920
2014,1,20,4,0,0,0,0,17,2,920
2014,1,20,5,0,0,0,0,17,2.2,920
2014,1,20,6,0,0,0,0,17,2.5,920
2014,1,20,7,0,104,279,60,19,2.8000000000000003,920
2014,1,20,8,0,334,572,117,20,2.9000000000000004,930
2014,1,20,9,0,556,717,149,23,3,930
2014,1,20,10,0,589,320,360,25,3.2,920
2014,1,20,11,0,404,63,353,27,3.4000000000000004,920
2014,1,20,12,0,524,135,410,28,3.5,920
2014,1,20,13,0,786,534,354,28,3.6,920
2014,1,20,14,0,735,791,167,27,3.6,920
2014,1,20,15,0,558,715,149,26,3.5,920
2014,1,20,16,0,318,382,171,24,3.2,920
2014,1,20,17,0,68,31,62,22,3.1,920
2014,1,20,18,0,0,0,0,21,3.1,920
2014,1,20,19,0,0,0,0,20,3,920
2014,1,20,20,0,0,0,0,19,3,920
2014,1,20,21,0,0,0,0,19,3,920
2014,1,20,22,0,0,0,0,18,2.9000000000000004,920
2014,1,20,23,0,0,0,0,18,2.8000000000000003,920
2014,1,21,0,0,0,0,0,17,2.7,920
2014,1,21,1,0,0,0,0,17,2.6,920
2014,1,21,2,0,0,0,0,17,2.6,920
2014,1,21,3,0,0,0,0,16,2.7,920
2014,1,21,4,0,0,0,0,16,2.8000000000000003,920
2014,1,21,5,0,0,0,0,16,2.8000000000000003,920
2014,1,21,6,0,0,0,0,17,2.6,920
2014,1,21,7,0,75,65,64,18,2.6,920
2014,1,21,8,0,317,426,155,21,2.7,920
2014,1,21,9,0,489,418,251,24,2.5,920
2014,1,21,10,0,729,786,167,26,2.4000000000000004,920
2014,1,21,11,0,838,781,207,27,2.4000000000000004,920
2014,1,21,12,0,885,838,181,28,2.6,920
2014,1,21,13,0,828,741,227,28,2.8000000000000003,920
2014,1,21,14,0,736,789,167,27,3,920
2014,1,21,15,0,560,715,149,26,3.1,920
2014,1,21,16,0,340,575,118,25,3.1,920
2014,1,21,17,0,95,114,76,22,3.3000000000000003,920
2014,1,21,18,0,0,0,0,21,3.5,920
2014,1,21,19,0,0,0,0,20,3.6,920
2014,1,21,20,0,0,0,0,19,3.6,920
2014,1,21,21,0,0,0,0,19,3.6,920
2014,1,21,22,0,0,0,0,18,3.6,920
2014,1,21,23,0,0,0,0,17,3.6,920
2014,1,22,0,0,0,0,0,17,3.5,920
2014,1,22,1,0,0,0,0,17,3.5,920
2014,1,22,2,0,0,0,0,17,3.3000000000000003,920
2014,1,22,3,0,0,0,0,17,2.9000000000000004,920
2014,1,22,4,0,0,0,0,17,2.8000000000000003,920
